id,rank,win%,k/d,dmg/rnd,region,acc_head_%,acc_head_hits,acc_body_%,acc_body_hits,acc_leg_%,acc_leg_hits,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,top_agent_nam,top_agent_time_hrs,top_agent_matchs,top_agent_win_%,top_agent_kd_avg,top_agent_adr
need feet pics#666,Gold 2,50,0.59,111.2,ZA,17.7,209,74.4,879,8,94,162,15.5,87,"2,566",0.8,Raze,21,37,56.8,0.9,141.1
emevaelx#1337,Immortal 3,65,1.06,137.2,BE,26.5,225,69.2,587,4.2,36,"1,216",25,630,"19,817",0.8,Sage,136,242,51.2,1,143.1
Za Russian секс7#maks7,Gold 1,41.7,1.15,173.8,RU,19.3,258,72.5,971,8.3,111,"1,166",13.8,554,"18,471",0.8,Jett,181,306,47.1,1,144.4
이 년들을 믿지마#0307,Immortal 1,87.5,1.38,177.9,BE,15.7,224,79.5,1135,4.8,68,349,17.2,182,"6,365",0.9,Jett,102,179,50.8,1.16,165.8
SHADOW#OOOO,Bronze 1,66.7,1.4,166.7,IN,11.1,182,74.6,1219,14.3,233,96,11.2,44,"1,429",0.7,Omen,34,60,50,1.04,145.7
Rodys Tricks#777,Silver 1,53.6,1.05,141.1,CA,17.3,215,76.5,948,6.2,77,253,13.2,117,"3,213",0.6,Brimstone,70,126,47.6,0.93,130.2
IRZ dragnwsniper#irzfy,Silver 1,47.6,1.04,153.3,US,17.7,244,71.4,982,10.8,149,"1,742",14.8,838,"26,013",0.7,Jett,181,334,46.4,1.03,157.3
Ricmaranga#GGs,Bronze 1,50,1.1,174.4,IT,8,124,66.5,1034,25.5,397,145,7.7,69,"2,188",0.8,Jett,50,87,49.4,0.99,153
ChaosXIII#XIII,Ascendant 2,49.3,1.07,137.8,IT,29.9,301,65,655,5.2,52,816,22.8,400,"12,968",0.8,Viper,225,384,50.3,1.11,151
TRIS TAINT#imbad,Platinum 3,49.1,1.03,145.1,US,16.5,190,77.5,891,5.9,68,"1,631",14.7,792,"25,852",0.8,Viper,346,611,52.4,1.08,149.1
dynamickitty23#0001,Platinum 1,62.5,1.06,145.2,GB,25.1,269,69.5,746,5.4,58,113,17.3,62,"1,806",0.8,Reyna,32,56,41.1,0.99,149.7
andjelaツ#2424,Silver 2,66.7,1.16,160.4,RS,17.3,174,75.1,753,7.6,76,178,14.9,87,"2,264",0.7,Sova,14,26,42.3,0.86,130.4
riceuwu#666,Diamond 1,62.1,1.06,148.7,BR,23,247,70.2,753,6.8,73,343,18.5,177,"5,611",0.8,Sage,39,68,51.5,1.08,145.8
FTSW Tubbirdd#Zaddy,Gold 2,56.5,1.16,151.6,US,25.8,211,70,573,4.3,35,438,18.7,224,"6,879",0.8,Chamber,105,184,52.2,1.19,163.1
Rule34#3207,Silver 1,48.2,1.21,162.6,IN,17.5,239,73.9,1012,8.6,118,150,15.3,63,"2,214",0.7,Sage,40,71,46.5,1,136.9
kia kaha#7405,Gold 1,37.5,1.05,125.1,BR,13,139,78.5,842,8.5,91,296,11.5,148,"4,069",0.7,Viper,47,78,53.8,1.1,136.5
RikaChu#7224,Unranked,75,1.14,118.2,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zertuny#1220,Ascendant 1,82.9,1.24,137.4,AT,23.2,209,70.8,638,6,54,248,22.1,148,"4,227",0.8,Reyna,41,75,53.3,1.18,164.4
her moon#lxrd,Diamond 2,33.3,1.01,138.3,JP,22,292,71.8,954,6.2,83,722,21.3,355,"14,223",1,Jett,204,365,52.9,1.71,216
AMBASSADOR#NOTAG,Immortal 2,45.4,0.93,134.5,CA,20.4,177,72.6,631,7,61,"3,737",21.7,"1,849","55,211",0.7,Sova,705,"1,244",49.4,0.95,139.2
goofy ahh xotic#0000,Bronze 3,37.5,0.69,109.5,AE,12.6,124,74.7,737,12.8,126,77,18.6,34,"1,155",0.7,Reyna,19,36,38.9,1.05,156.1
Tokyoo#Jihyo,Unranked,0,0.86,127.4,PH,16.8,215,76.3,976,6.9,88,104,13.6,50,"1,220",0.6,Sage,17,31,51.6,0.69,95.4
iVyLux#002,Platinum 2,53.3,1.34,194.8,DE,22.2,376,70.9,1200,6.9,116,311,15.2,150,"5,636",0.9,Neon,91,164,49.4,1.16,170.1
interlude#aceml,Platinum 3,66.7,1.16,145.7,CA,34.9,251,61.8,444,3.3,24,"1,252",26.1,619,"18,873",0.7,Reyna,148,272,53.7,1.12,156.7
G2K Ch1kita#Suz,Ascendant 2,44,0.94,122.7,RS,27.7,229,65.9,545,6.4,53,"2,604",17,"1,294","31,950",0.6,Killjoy,392,678,50.4,0.87,120.7
seireИ 吉神#ynwa,Silver 2,47.6,1.52,190.8,ID,33.1,342,62.9,649,4,41,"1,515",11.7,716,"19,992",0.6,Viper,396,677,46.2,0.79,115.1
BigTiddieGoth#alone,Gold 3,44.4,0.85,125,DE,12.8,168,81.4,1066,5.7,75,199,14,107,"2,524",0.6,Killjoy,42,76,47.4,0.73,110.7
f0urK#death,Ascendant 3,60.2,0.97,135,TR,28.1,277,69.1,681,2.8,28,"2,143",17.7,"1,071","33,030",0.7,Reyna,189,335,51.9,1.11,161.2
黒Jet#dead,Silver 3,61.5,1.39,171.6,US,20.5,256,75,934,4.5,56,514,19,256,"8,953",0.9,Sage,66,120,48.3,1.21,161.8
